id,team,x,y,segment,name,location
57,LAA,90.93228189,172.9322819,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
58,LAA,93.50679221,175.5067922,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
59,LAA,96.08130253,178.0813025,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
60,LAA,98.65581284,180.6558128,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
61,LAA,101.2303232,180.6503232,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
62,LAA,103.8048335,183.2248335,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
63,LAA,106.3793438,185.7993438,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
64,LAA,108.9538541,188.3738541,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
65,LAA,111.5283644,190.9483644,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
66,LAA,114.1028747,193.5228747,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
67,LAA,116.6773851,196.0973851,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
68,LAA,119.2518954,198.6718954,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
69,LAA,119.7934446,201.8109223,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
70,LAA,120.8312491,205.2322509,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
71,LAA,123.7479222,207.2999901,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
72,LAA,127.319901,207.1467101,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
73,LAA,130.0487176,204.8367128,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
74,LAA,130.7896159,201.3390568,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
75,LAA,130.9729903,198.2270097,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
76,LAA,133.5475006,195.6524994,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
77,LAA,136.1220109,193.0779891,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
78,LAA,138.6965212,190.5034788,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
79,LAA,141.2710316,187.9289684,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
80,LAA,143.8455419,185.3544581,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
81,LAA,146.4200522,182.7799478,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
82,LAA,148.9945625,180.2054375,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
83,LAA,151.5671025,179.6289608,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
84,LAA,154.1364317,177.0492797,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
85,LAA,156.7057608,174.4695987,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
86,LAA,159.27509,171.8899177,infield_outer,Angel Stadium of Anaheim,"Anaheim, CA"
